event_id,timestamp,event_type,user_id,session_id,product_id,product_category,product_price,quantity,order_id,cart_value,discount_applied,shipping_method,payment_method,location,age_group,gender,loyalty_member,device,operating_system,browser,ip_address,latency_ms,utm_source,utm_campaign,page_url,referrer_url
78422f26-1952-4ab8-90aa-41aec4bdd711,2025-09-12 14:28:57,view,user_86,session_970,prod_129,Sports,169.83,0,,,False,,,Tamale,18-24,Male,False,Desktop,Windows,Safari,53.55.146.62,311,google,google_campaign,checkout_page,https://www.other.com
46d27335-3396-4dda-af12-ddb1a6d2d325,2025-09-12 14:28:57,view,user_560,session_260,prod_296,Automotive,268.7,0,,,False,,,Abuja,45-54,Male,False,Tablet,iOS,Chrome,171.128.132.120,153,facebook,facebook_campaign,cart_page,https://www.linkedin.com
40251aa8-dd4f-4879-85e6-439a8f9e4d7c,2025-09-12 14:28:57,view,user_817,session_627,prod_988,Sports,489.74,0,,,False,,,Kano,55+,Male,False,Tablet,MacOS,Edge,217.190.10.206,891,youtube,youtube_campaign,homepage,https://www.instagram.com
aebe6ccb-d3e3-4d66-93fb-104e585abec8,2025-09-12 14:28:57,view,user_325,session_958,prod_907,Other,224.42,0,,,False,,,Abuja,18-24,Male,False,Mobile,Android,Chrome,242.37.123.164,665,youtube,youtube_campaign,cart_page,https://www.google.com
3319052f-43d2-468c-a795-5a70bf723481,2025-09-12 14:28:57,view,user_693,session_967,prod_345,Electronics,114.79,0,,,False,,,Cape Town,45-54,Male,False,Mobile,Android,Safari,235.160.103.215,653,instagram,instagram_campaign,cart_page,https://www.twitter.com
77e1a7b1-b64b-46cd-bf8b-61bdd9f248f7,2025-09-12 14:28:57,view,user_384,session_109,prod_122,Health,457.61,0,,,False,,,Takoradi,25-34,Female,True,Desktop,Windows,Safari,25.16.255.188,140,youtube,youtube_campaign,homepage,https://www.other.com
34a97ecb-3ec7-4ffc-b4f6-071b1a7f4efa,2025-09-12 14:28:57,view,user_942,session_148,prod_546,Electronics,342.18,0,,,False,,,Kumasi,18-24,Female,False,Mobile,iOS,Edge,237.178.179.133,891,linkedin,linkedin_campaign,cart_page,https://www.google.com
c0075ffa-ac62-4f1f-a0b3-35211c9af238,2025-09-12 14:28:57,add_to_cart,user_494,session_784,prod_42,Other,430.22,5,,,False,,,Accra,45-54,Female,True,Mobile,iOS,Firefox,111.116.104.1,885,youtube,youtube_campaign,product_page,https://www.instagram.com
4687189e-3a26-46c4-9a11-d3b7118bdeea,2025-09-12 14:28:57,purchase,user_385,session_682,prod_241,Toys,423.46,5,order_9486,2117.3,False,Overnight,Mobile Money,Lagos,25-34,Male,False,Tablet,MacOS,Chrome,128.160.30.131,734,facebook,facebook_campaign,cart_page,https://www.facebook.com
f31f428b-f826-44d6-8dfe-bf49e181f44c,2025-09-12 14:28:57,view,user_674,session_87,prod_708,Clothing,30.56,0,,,False,,,Lagos,18-24,Female,False,Desktop,Windows,Firefox,128.212.86.219,118,google,google_campaign,search_results_page,https://www.other.com
fa85b5aa-bb91-4013-b21f-fc2a99aba607,2025-09-12 14:28:57,purchase,user_253,session_38,prod_75,Home & Garden,125.47,2,order_9905,250.94,False,Express,Cash on Delivery,Accra,18-24,Female,False,Tablet,iOS,Safari,200.52.243.75,324,other,other_campaign,cart_page,https://www.instagram.com
28e0d110-df91-4c7a-a6b0-6b6d427db1d5,2025-09-12 14:28:57,view,user_423,session_659,prod_279,Electronics,45.61,0,,,False,,,Lagos,45-54,Male,False,Desktop,MacOS,Edge,22.121.197.47,564,instagram,instagram_campaign,product_page,https://www.facebook.com
fd579408-1d76-4dcb-b3d5-45052c165407,2025-09-12 14:28:57,view,user_929,session_244,prod_140,Books,11.24,0,,,False,,,Accra,55+,Male,True,Desktop,MacOS,Firefox,105.252.84.179,988,other,other_campaign,cart_page,https://www.other.com
c7e588e0-19b2-4be1-8682-4666d358cbb4,2025-09-12 14:28:57,view,user_327,session_685,prod_392,Health,145.53,0,,,False,,,Tamale,18-24,Female,False,Tablet,iOS,Edge,129.198.164.66,491,google,google_campaign,search_results_page,https://www.instagram.com
14e92262-a8d6-4fdd-b1d9-d8cf6c04897a,2025-09-12 14:28:57,view,user_713,session_377,prod_454,Automotive,448.73,0,,,False,,,Cape Town,25-34,Male,True,Desktop,MacOS,Safari,91.155.237.251,558,other,other_campaign,checkout_page,https://www.youtube.com
6181023d-27e7-44aa-8781-06560fc522ec,2025-09-12 14:28:57,view,user_541,session_99,prod_98,Beauty,8.69,0,,,False,,,Johannesburg,35-44,Female,True,Tablet,iOS,Edge,251.110.160.72,891,linkedin,linkedin_campaign,homepage,https://www.youtube.com
7b338a53-27e5-4407-9696-aa97caf9d20b,2025-09-12 14:28:57,view,user_259,session_999,prod_10,Beauty,137.88,0,,,False,,,Lagos,18-24,Female,False,Tablet,MacOS,Firefox,94.110.86.208,387,other,other_campaign,cart_page,https://www.google.com
a9fc63f8-28e6-4c37-a023-756c73042da6,2025-09-12 14:28:57,view,user_36,session_872,prod_584,Health,304.76,0,,,False,,,Lagos,35-44,Female,False,Tablet,MacOS,Edge,122.211.58.18,305,instagram,instagram_campaign,checkout_page,https://www.youtube.com
1f851aa7-5ba0-4771-9191-bffde5e094d2,2025-09-12 14:28:57,purchase,user_800,session_879,prod_632,Electronics,313.6,3,order_2981,940.8,False,Standard,Mobile Money,Kano,25-34,Female,False,Desktop,Windows,Opera,26.249.165.108,572,other,other_campaign,checkout_page,https://www.facebook.com
e0d443ed-36ac-4a7b-acf2-8c8e7103018e,2025-09-12 14:28:57,view,user_338,session_64,prod_120,Sports,275.18,0,,,False,,,Abuja,35-44,Female,True,Mobile,iOS,Firefox,20.173.80.31,512,facebook,facebook_campaign,cart_page,https://www.youtube.com
b1abf24d-7fb2-4bd5-9419-ae874471b24b,2025-09-12 14:28:57,view,user_523,session_916,prod_882,Beauty,30.75,0,,,False,,,Tamale,45-54,Female,True,Desktop,Windows,Safari,157.238.215.189,569,twitter,twitter_campaign,search_results_page,https://www.youtube.com
ecbd20f4-499d-4793-af7f-aaf0f945d983,2025-09-12 14:28:57,view,user_165,session_615,prod_522,Other,237.23,0,,,False,,,Lagos,55+,Male,False,Tablet,MacOS,Chrome,91.214.211.8,702,instagram,instagram_campaign,search_results_page,https://www.instagram.com
74124b8e-0fe3-4657-9882-3afdac49dde1,2025-09-12 14:28:57,add_to_cart,user_530,session_972,prod_107,Automotive,222.44,2,,,False,,,Lagos,25-34,Female,False,Desktop,MacOS,Chrome,81.66.134.149,69,twitter,twitter_campaign,product_page,https://www.other.com
af519fc7-3e87-443a-8d34-ce1f318ecbf1,2025-09-12 14:28:57,view,user_933,session_96,prod_154,Clothing,320.39,0,,,False,,,Johannesburg,35-44,Female,True,Mobile,Android,Edge,62.142.115.57,654,instagram,instagram_campaign,cart_page,https://www.youtube.com
6a77a3f8-6e53-4243-a008-042e9d023abb,2025-09-12 14:28:57,view,user_710,session_249,prod_908,Automotive,396.77,0,,,False,,,Nairobi,55+,Male,False,Mobile,Android,Opera,179.184.40.245,345,instagram,instagram_campaign,cart_page,https://www.twitter.com
80dfa1ee-939a-47d4-9ef1-6a63b5b42638,2025-09-12 14:28:57,add_to_cart,user_499,session_192,prod_434,Books,427.73,5,,,False,,,Lagos,45-54,Female,False,Mobile,Android,Firefox,170.116.18.195,729,instagram,instagram_campaign,search_results_page,https://www.twitter.com
401cab53-6912-4e78-9c5a-51b4bcb86cea,2025-09-12 14:28:57,view,user_236,session_707,prod_629,Electronics,19.57,0,,,False,,,Takoradi,18-24,Male,False,Mobile,Android,Safari,200.219.51.17,224,youtube,youtube_campaign,homepage,https://www.youtube.com
67a2d9dc-88b7-4b78-bdbb-ada8269b64f4,2025-09-12 14:28:57,view,user_788,session_576,prod_335,Sports,470.7,0,,,False,,,Accra,55+,Male,True,Mobile,Android,Edge,75.168.51.190,486,google,google_campaign,cart_page,https://www.facebook.com
